time,r9i1p1f1,r1i1p1f1,r5i1p1f1,r6i1p1f1,r8i1p1f1,r3i1p1f1,r7i1p1f1,r4i1p1f1,r10i1p1f1,r2i1p1f1
1979-01-15 12:00:00,14161402000000.0,14140073000000.0,14084302000000.0,13571045000000.0,13819656000000.0,13550261000000.0,13727024000000.0,13702380000000.0,14319534000000.0,14003637000000.0
1979-02-14 00:00:00,14467486000000.0,14737694000000.0,14573405000000.0,14369019000000.0,14614061000000.0,14205808000000.0,14239052000000.0,14108887000000.0,14806969000000.0,14613559000000.0
1979-03-15 12:00:00,14743450000000.0,14965864000000.0,14706879000000.0,14560982000000.0,14775356000000.0,14342035000000.0,14393053000000.0,14436564000000.0,15062140000000.0,15010957000000.0
1979-04-15 00:00:00,14708203000000.0,14995289000000.0,14703329000000.0,14511524000000.0,14720631000000.0,14243120000000.0,14263297000000.0,14450342000000.0,15021139000000.0,15006323000000.0
1979-05-15 12:00:00,13815823000000.0,14079983000000.0,13857634000000.0,13845267000000.0,13877273000000.0,13677796000000.0,13383135000000.0,13870159000000.0,14284239000000.0,13936759000000.0
1979-06-15 00:00:00,12186351000000.0,12273905000000.0,12177633000000.0,12010880000000.0,12114114000000.0,11527398000000.0,11528254000000.0,11902511000000.0,12317507000000.0,12359532000000.0
1979-07-15 12:00:00,10091137000000.0,10403673000000.0,10516731000000.0,9061785000000.0,10276156000000.0,9784812000000.0,9164486000000.0,9763333000000.0,10419041000000.0,9514749000000.0
1979-08-15 12:00:00,7733085500000.0,8428453000000.0,8482708000000.0,6744371600000.0,8669255000000.0,7074388000000.0,7264488400000.0,7605748500000.0,8125782000000.0,6265003600000.0
1979-09-15 00:00:00,6711287500000.0,7077642600000.0,7071957000000.0,5861409300000.0,7639880000000.0,5762911000000.0,6486381000000.0,6820166000000.0,6678936000000.0,5040738700000.0
1979-10-15 12:00:00,8569889500000.0,9356955000000.0,9016972000000.0,7375290000000.0,8817747000000.0,7033232300000.0,8155458000000.0,8149856700000.0,8906750000000.0,7559928000000.0
1979-11-15 00:00:00,10523588000000.0,11063725000000.0,10734629000000.0,9650831000000.0,10707421000000.0,10390377000000.0,10094081000000.0,10357775000000.0,11157301000000.0,10855052000000.0
1979-12-15 12:00:00,13019982000000.0,12771016000000.0,13007188000000.0,12126383000000.0,12772619000000.0,12402466000000.0,12606026000000.0,12674105000000.0,13410192000000.0,13232596000000.0
1980-01-15 12:00:00,14192766000000.0,13770837000000.0,13926911000000.0,13065521000000.0,14091461000000.0,13587272000000.0,13948716000000.0,13914618000000.0,14333721000000.0,14083514000000.0
1980-02-14 00:00:00,14600131000000.0,14448317000000.0,14343781000000.0,13771242000000.0,14543482000000.0,14312060000000.0,14219376000000.0,14440399000000.0,14864517000000.0,14735022000000.0
1980-03-15 12:00:00,14552379000000.0,14633333000000.0,14625120000000.0,14211969000000.0,14530212000000.0,14541484000000.0,14421218000000.0,14716529000000.0,14909820000000.0,14844009000000.0
1980-04-15 00:00:00,14494178000000.0,14371634000000.0,14519314000000.0,14302413000000.0,14616302000000.0,14394918000000.0,14362901000000.0,14648983000000.0,14707390000000.0,14646602000000.0
1980-05-15 12:00:00,13661590000000.0,13605754000000.0,13859638000000.0,13791880000000.0,13581894000000.0,13730624000000.0,13457573000000.0,13831073000000.0,13774803000000.0,14134297000000.0
1980-06-15 00:00:00,12124070000000.0,11820652000000.0,12466837000000.0,11795235000000.0,12067292000000.0,12044620000000.0,11895585000000.0,12292230000000.0,12904461000000.0,12414582000000.0
1980-07-15 12:00:00,10071363000000.0,10027654000000.0,10308916000000.0,9685856000000.0,10277578000000.0,9831371000000.0,9903028000000.0,9407733000000.0,11372036000000.0,9825373000000.0
1980-08-15 12:00:00,7650830000000.0,7643522400000.0,8216761000000.0,7203559000000.0,8362566600000.0,8057531700000.0,7348225600000.0,7447918000000.0,8730883000000.0,7809031700000.0
1980-09-15 00:00:00,6632527400000.0,6364620400000.0,7235959000000.0,6323450000000.0,7226923000000.0,6873989000000.0,6678439000000.0,6420624000000.0,7702504000000.0,6437289000000.0
1980-10-15 12:00:00,8321740300000.0,8205696500000.0,8905257000000.0,8019886700000.0,9013190000000.0,8264695700000.0,7733229600000.0,8341833000000.0,9164540000000.0,8451007000000.0
1980-11-15 00:00:00,10250388000000.0,10724575000000.0,10878359000000.0,10824091000000.0,10621767000000.0,10568887000000.0,10560974000000.0,10860620000000.0,10986877000000.0,10922973000000.0
1980-12-15 12:00:00,12606135000000.0,12552237000000.0,12777318000000.0,12711412000000.0,12464320000000.0,12853948000000.0,12957845000000.0,12693134000000.0,13011488000000.0,13259596000000.0
1981-01-15 12:00:00,14120053000000.0,13801692000000.0,13737681000000.0,13738090000000.0,14082890000000.0,13852853000000.0,14003703000000.0,13949014000000.0,14390696000000.0,14359529000000.0
1981-02-14 00:00:00,14649621000000.0,14363281000000.0,14208964000000.0,14207641000000.0,14500977000000.0,14474769000000.0,14560400000000.0,14627658000000.0,14817705000000.0,14736616000000.0
1981-03-15 12:00:00,14751935000000.0,14468627000000.0,14361479000000.0,14608925000000.0,14621902000000.0,14654459000000.0,14717427000000.0,14607274000000.0,14796299000000.0,14892131000000.0
1981-04-15 00:00:00,14677208000000.0,14538978000000.0,14293194000000.0,14412780000000.0,14637355000000.0,14634438000000.0,14744379000000.0,14505426000000.0,14701719000000.0,14683682000000.0
1981-05-15 12:00:00,13832357000000.0,14030482000000.0,13578453000000.0,13355913000000.0,13863700000000.0,13967008000000.0,13987700000000.0,13837632000000.0,14231314000000.0,13820726000000.0
1981-06-15 00:00:00,11814170000000.0,12326791000000.0,12014571000000.0,11551889000000.0,12607972000000.0,12313160000000.0,12224640000000.0,11976916000000.0,12115715000000.0,12199897000000.0
1981-07-15 12:00:00,9183765000000.0,9849976000000.0,9293271000000.0,9832894000000.0,10622515000000.0,10151422000000.0,10355581000000.0,10227456000000.0,9963090000000.0,10043356000000.0
1981-08-15 12:00:00,7585450000000.0,6983823400000.0,7476046000000.0,7753596700000.0,8124367000000.0,7487276000000.0,7954036000000.0,7506233400000.0,7202624500000.0,7631217400000.0
1981-09-15 00:00:00,6689424700000.0,5855739000000.0,6432415000000.0,6923480000000.0,6368781000000.0,6699056400000.0,6910469000000.0,6098294700000.0,6585957000000.0,6362169300000.0
1981-10-15 12:00:00,7819524300000.0,8405536000000.0,7435885500000.0,7811311300000.0,8819764000000.0,8094483500000.0,9077921000000.0,8405554000000.0,8519443000000.0,7922442600000.0
1981-11-15 00:00:00,10321205000000.0,10733966000000.0,10059696000000.0,10707800000000.0,10363049000000.0,10282396000000.0,10587929000000.0,10715122000000.0,10316017000000.0,10510419000000.0
1981-12-15 12:00:00,12310664000000.0,13024264000000.0,12431436000000.0,12700508000000.0,12724424000000.0,12731737000000.0,12601633000000.0,12649843000000.0,12571705000000.0,12468489000000.0
1982-01-15 12:00:00,13769497000000.0,14074832000000.0,13627605000000.0,13935242000000.0,14146249000000.0,13850929000000.0,13986530000000.0,14038036000000.0,13747138000000.0,13878649000000.0
1982-02-14 00:00:00,14351421000000.0,14446904000000.0,13870655000000.0,14457514000000.0,14592481000000.0,14382709000000.0,14386266000000.0,14657612000000.0,14356477000000.0,14489358000000.0
1982-03-15 12:00:00,14840807000000.0,14511243000000.0,14178525000000.0,14416809000000.0,14816373000000.0,14645866000000.0,14612743000000.0,14747225000000.0,14621895000000.0,14730530000000.0
1982-04-15 00:00:00,14619049000000.0,14506579000000.0,14162499000000.0,14266404000000.0,14719087000000.0,14449578000000.0,14285273000000.0,14722509000000.0,14688687000000.0,14435491000000.0
1982-05-15 12:00:00,13989554000000.0,13898401000000.0,13029138000000.0,13449405000000.0,13818531000000.0,13924798000000.0,13213349000000.0,14263212000000.0,13601787000000.0,13774025000000.0
1982-06-15 00:00:00,12341675000000.0,12329788000000.0,11618222000000.0,11724653000000.0,11670529000000.0,12503890000000.0,11872093000000.0,12094460000000.0,11981256000000.0,11461606000000.0
1982-07-15 12:00:00,9989177000000.0,10179616000000.0,9574638000000.0,9396493000000.0,9607668000000.0,10096784000000.0,9483059000000.0,9919550000000.0,10272538000000.0,9255213000000.0
1982-08-15 12:00:00,8216933600000.0,7830230000000.0,7631932000000.0,6940441700000.0,7797662000000.0,7567696000000.0,6800755700000.0,7037976000000.0,7284332700000.0,6423122500000.0
1982-09-15 00:00:00,7427283000000.0,6412558000000.0,6359981000000.0,5960237600000.0,6582662300000.0,6393387000000.0,5887820300000.0,5446488300000.0,6004812500000.0,5186485500000.0
1982-10-15 12:00:00,8728387500000.0,8817448000000.0,7541506400000.0,7364705500000.0,7920604000000.0,7863037000000.0,7630256300000.0,8454457000000.0,8472066000000.0,7249012000000.0
1982-11-15 00:00:00,10672888000000.0,11018139000000.0,9748632000000.0,9992512000000.0,10147907000000.0,10663880000000.0,10201973000000.0,10578683000000.0,10612503000000.0,9368469000000.0
1982-12-15 12:00:00,12880380000000.0,12842290000000.0,12171960000000.0,12502880000000.0,12480626000000.0,12907339000000.0,12388521000000.0,12922600000000.0,12389454000000.0,12147179000000.0
1983-01-15 12:00:00,13990206000000.0,13847158000000.0,13750633000000.0,13771354000000.0,13410087000000.0,14056809000000.0,13616995000000.0,14023122000000.0,13573605000000.0,13658323000000.0
1983-02-14 00:00:00,14452259000000.0,14478011000000.0,14340214000000.0,14350607000000.0,14073693000000.0,14509610000000.0,14531577000000.0,14532471000000.0,13734953000000.0,14293816000000.0
1983-03-15 12:00:00,14809129000000.0,14642338000000.0,14386339000000.0,14467130000000.0,14437208000000.0,14603670000000.0,14853438000000.0,14613232000000.0,13879178000000.0,14625291000000.0
1983-04-15 00:00:00,14499661000000.0,14385813000000.0,14274656000000.0,14300302000000.0,14181181000000.0,14610009000000.0,14577316000000.0,14510242000000.0,14064824000000.0,14583553000000.0
1983-05-15 12:00:00,13876247000000.0,14019652000000.0,13117323000000.0,13377107000000.0,13666387000000.0,13981247000000.0,13896182000000.0,13531520000000.0,12984264000000.0,13660068000000.0
1983-06-15 00:00:00,12444210000000.0,11846004000000.0,11572331000000.0,11898322000000.0,12196300000000.0,12337988000000.0,11781354000000.0,11850350000000.0,11712249000000.0,11789655000000.0
1983-07-15 12:00:00,10311438000000.0,9216572000000.0,9546748000000.0,9857468000000.0,10353016000000.0,10417388000000.0,9440902000000.0,9643437000000.0,9893778000000.0,9907277000000.0
1983-08-15 12:00:00,8171759300000.0,7808339000000.0,7249627000000.0,7394498000000.0,7991689500000.0,7921686500000.0,6842517300000.0,7493649000000.0,7371883000000.0,7608352000000.0
1983-09-15 00:00:00,7535895000000.0,6714624000000.0,6475333000000.0,6154175400000.0,6860225600000.0,6979385000000.0,6261071400000.0,6222768000000.0,6403427000000.0,6716677000000.0
1983-10-15 12:00:00,8250278300000.0,8709753300000.0,8356430000000.0,8382510500000.0,8810062000000.0,8618447500000.0,7372731000000.0,7781945000000.0,7731592300000.0,8490235000000.0
1983-11-15 00:00:00,10803463000000.0,10642883000000.0,10329193000000.0,10544617000000.0,10598398000000.0,10920348000000.0,10272549000000.0,10881614000000.0,10306722000000.0,10432534000000.0
1983-12-15 12:00:00,13397477000000.0,12720317000000.0,11870579000000.0,12570482000000.0,12871531000000.0,13136554000000.0,12364215000000.0,12574804000000.0,11938633000000.0,12705264000000.0
1984-01-15 12:00:00,14391070000000.0,14000704000000.0,13430491000000.0,13945079000000.0,14136820000000.0,13893459000000.0,13737889000000.0,14128723000000.0,13258908000000.0,13666968000000.0
1984-02-14 00:00:00,14895842000000.0,14478672000000.0,14141897000000.0,14431111000000.0,14553584000000.0,14294059000000.0,14309750000000.0,14535892000000.0,13942974000000.0,14288786000000.0
1984-03-15 12:00:00,15060915000000.0,14603671000000.0,14241259000000.0,14584982000000.0,14784269000000.0,14291659000000.0,14758818000000.0,14777039000000.0,14120219000000.0,14266645000000.0
1984-04-15 00:00:00,15029271000000.0,14575257000000.0,14162732000000.0,14574061000000.0,14403413000000.0,14187056000000.0,14413353000000.0,14357990000000.0,14021665000000.0,14406467000000.0
1984-05-15 12:00:00,14435188000000.0,13678911000000.0,13482987000000.0,13753978000000.0,13727630000000.0,13587014000000.0,13329717000000.0,13562720000000.0,13344038000000.0,13927045000000.0
1984-06-15 00:00:00,12626994000000.0,11947015000000.0,11935045000000.0,12116212000000.0,12159514000000.0,11654299000000.0,11554478000000.0,11865606000000.0,11889738000000.0,12204192000000.0
1984-07-15 12:00:00,11064831000000.0,10249983000000.0,9016073000000.0,9632091000000.0,10587721000000.0,9986942000000.0,9363428000000.0,10044351000000.0,9118832000000.0,10507546000000.0
1984-08-15 12:00:00,8971586000000.0,7375387400000.0,6781900700000.0,6458435400000.0,8278758000000.0,7061235600000.0,6737220300000.0,7227640400000.0,6543491700000.0,7662533000000.0
1984-09-15 00:00:00,7605944600000.0,6632538000000.0,5679480000000.0,4859354400000.0,6923072000000.0,5406745700000.0,5637067500000.0,5736434000000.0,5991141700000.0,6018046000000.0
1984-10-15 12:00:00,9113893000000.0,8522162000000.0,7157451300000.0,7379404500000.0,8789598000000.0,7986631000000.0,6973415000000.0,6940343000000.0,7691233700000.0,8643884000000.0
1984-11-15 00:00:00,11316989000000.0,10075010000000.0,10175661000000.0,10293124000000.0,10902845000000.0,10311315000000.0,10243804000000.0,9859750000000.0,10269284000000.0,10441674000000.0
1984-12-15 12:00:00,13854784000000.0,12372660000000.0,12477226000000.0,12442577000000.0,12700338000000.0,12081542000000.0,12681298000000.0,12139516000000.0,12413923000000.0,12682928000000.0
1985-01-15 12:00:00,14789059000000.0,13742725000000.0,13942649000000.0,13982683000000.0,13883058000000.0,13514507000000.0,14132265000000.0,13252386000000.0,13481300000000.0,13835929000000.0
1985-02-14 00:00:00,15149430000000.0,14362617000000.0,14308828000000.0,14410106000000.0,14473865000000.0,14301917000000.0,14590700000000.0,13986389000000.0,14097708000000.0,14636692000000.0
1985-03-15 12:00:00,15260994000000.0,14614372000000.0,14441731000000.0,14759687000000.0,14781658000000.0,14556137000000.0,14793927000000.0,14123828000000.0,14221234000000.0,14941400000000.0
1985-04-15 00:00:00,14931328000000.0,14340881000000.0,14467260000000.0,14793805000000.0,14681501000000.0,14626121000000.0,14664167000000.0,14183859000000.0,14047183000000.0,14578223000000.0
1985-05-15 12:00:00,14113987000000.0,13683618000000.0,13849254000000.0,13960756000000.0,13755319000000.0,13551004000000.0,13603022000000.0,13350172000000.0,13560541000000.0,13771053000000.0
1985-06-15 00:00:00,12376502000000.0,12167728000000.0,11659723000000.0,12130010000000.0,12052887000000.0,11479342000000.0,12566643000000.0,11587448000000.0,11920645000000.0,12001816000000.0
1985-07-15 12:00:00,10194046000000.0,9385936000000.0,9141064000000.0,9708997000000.0,10216163000000.0,8824145000000.0,10611033000000.0,9268700000000.0,9753463000000.0,10393173000000.0
1985-08-15 12:00:00,7808712400000.0,6997166500000.0,7312969300000.0,7058712700000.0,7653284600000.0,6101467700000.0,7212858000000.0,6660992000000.0,7270659000000.0,7540873000000.0
1985-09-15 00:00:00,7416363000000.0,5992475000000.0,6297806000000.0,4974638500000.0,6481007600000.0,4796226500000.0,5670686000000.0,5720705600000.0,6298011700000.0,5998528000000.0
1985-10-15 12:00:00,8935109000000.0,8002893500000.0,8256977000000.0,7015549000000.0,7676450000000.0,6875290500000.0,7073947500000.0,7146324400000.0,7769265000000.0,8244604000000.0
1985-11-15 00:00:00,11202633000000.0,10283599000000.0,10268198000000.0,9879807000000.0,10776077000000.0,9271394000000.0,10318152000000.0,9986065000000.0,10420024000000.0,9973447000000.0
1985-12-15 12:00:00,13066461000000.0,12765685000000.0,12633443000000.0,12292097000000.0,13317844000000.0,11858189000000.0,12821421000000.0,12702789000000.0,12556836000000.0,12377244000000.0
1986-01-15 12:00:00,14281162000000.0,13824933000000.0,13772056000000.0,13689347000000.0,14414504000000.0,13869485000000.0,13991432000000.0,13906030000000.0,13640430000000.0,13517231000000.0
1986-02-14 00:00:00,14740136000000.0,14421904000000.0,14192405000000.0,14250941000000.0,14782115000000.0,14376210000000.0,14451045000000.0,14379327000000.0,13972672000000.0,13795464000000.0
1986-03-15 12:00:00,14917203000000.0,14629191000000.0,14224525000000.0,14448824000000.0,15067438000000.0,14281276000000.0,14833455000000.0,14584499000000.0,14203495000000.0,14043069000000.0
1986-04-15 00:00:00,14898728000000.0,14430965000000.0,14030898000000.0,14432852000000.0,15030218000000.0,14285883000000.0,14735667000000.0,14450689000000.0,14082539000000.0,14079884000000.0
1986-05-15 12:00:00,14256708000000.0,13663755000000.0,13273005000000.0,13608587000000.0,14299884000000.0,13859847000000.0,13688413000000.0,13650008000000.0,13301400000000.0,13269643000000.0
1986-06-15 00:00:00,12294524000000.0,11678872000000.0,11633286000000.0,11678203000000.0,12051836000000.0,12062042000000.0,11757788000000.0,11926652000000.0,11863869000000.0,11841854000000.0
1986-07-15 12:00:00,10294250000000.0,10138245000000.0,9068910000000.0,9706886000000.0,9845751000000.0,9599695000000.0,9448059000000.0,9529989000000.0,9615379000000.0,9878486000000.0
1986-08-15 12:00:00,7711916300000.0,6951064300000.0,6830317600000.0,6922917000000.0,7619530000000.0,6748838600000.0,6741613300000.0,6342347600000.0,7260028300000.0,7380012000000.0
1986-09-15 00:00:00,6994962400000.0,5730586300000.0,5879443000000.0,5720263600000.0,6612412000000.0,5552047400000.0,5689532500000.0,4727442500000.0,6196355000000.0,5841888000000.0
1986-10-15 12:00:00,8094450500000.0,7302837000000.0,7610932000000.0,7926323300000.0,8041303000000.0,7286647000000.0,6917229400000.0,6567987500000.0,7966274600000.0,8040194500000.0
1986-11-15 00:00:00,10695351000000.0,9741810000000.0,10023363000000.0,10268204000000.0,10520520000000.0,10176965000000.0,10575068000000.0,10087163000000.0,10302077000000.0,10201564000000.0
1986-12-15 12:00:00,13058766000000.0,12360071000000.0,12281877000000.0,12120198000000.0,12962861000000.0,12161996000000.0,12671292000000.0,12345410000000.0,12618398000000.0,12660063000000.0
1987-01-15 12:00:00,14164930000000.0,13299258000000.0,13610699000000.0,13635108000000.0,14565204000000.0,13838307000000.0,14173843000000.0,13547816000000.0,13586659000000.0,13789263000000.0
1987-02-14 00:00:00,14740073000000.0,14149127000000.0,14269798000000.0,14389072000000.0,14602757000000.0,14244576000000.0,14715141000000.0,14196647000000.0,14018618000000.0,14320384000000.0
1987-03-15 12:00:00,14956418000000.0,14599131000000.0,14513267000000.0,14660732000000.0,14779549000000.0,14443646000000.0,14966539000000.0,14351214000000.0,14211281000000.0,14563123000000.0
1987-04-15 00:00:00,14636391000000.0,14587231000000.0,14293792000000.0,14485348000000.0,14696983000000.0,14307066000000.0,14831636000000.0,14072488000000.0,14200127000000.0,14528150000000.0
1987-05-15 12:00:00,13812070000000.0,13791439000000.0,13366819000000.0,13629410000000.0,14046309000000.0,13794516000000.0,13689097000000.0,13330900000000.0,13493619000000.0,13919429000000.0
1987-06-15 00:00:00,12178954000000.0,12438320000000.0,11383105000000.0,11899982000000.0,12318641000000.0,11789253000000.0,12254198000000.0,11376083000000.0,11497999000000.0,12032802000000.0
1987-07-15 12:00:00,9953792000000.0,9616459000000.0,9549090000000.0,9440995000000.0,10237940000000.0,9668527000000.0,10004563000000.0,9248881000000.0,9498560000000.0,9513233000000.0
1987-08-15 12:00:00,7522609000000.0,6450758300000.0,6391539000000.0,6708706400000.0,7423990400000.0,7197454000000.0,7068915300000.0,7218704000000.0,7069637300000.0,7923825600000.0
1987-09-15 00:00:00,6687599000000.0,4787147400000.0,5208450500000.0,5883752000000.0,6386973400000.0,5951475700000.0,5361254000000.0,6266897300000.0,6209059000000.0,6501416600000.0
1987-10-15 12:00:00,7940276000000.0,6608744600000.0,6969885700000.0,7092720000000.0,7743961000000.0,7256754000000.0,7539835000000.0,7350897300000.0,7580340500000.0,8320811000000.0
1987-11-15 00:00:00,10797160000000.0,10209897000000.0,10059790000000.0,10439469000000.0,10436210000000.0,10244099000000.0,10437865000000.0,9996956000000.0,9708635000000.0,10314609000000.0
