time,r7i1p1f1,r1i1p1f1,r3i1p1f1,r4i1p1f1,r2i1p1f1,r6i1p1f1
1979-01-16 12:00:00,0.11928713,0.13593337,0.14232247,0.14638062,0.14612117,0.12536804
1979-02-15 00:00:00,0.12155483,0.1436828,0.12704647,0.14016263,0.12709309,0.11348449
1979-03-16 12:00:00,0.11486168,0.12799792,0.12037111,0.13679174,0.12081974,0.10981216
1979-04-16 00:00:00,0.11216575,0.10799955,0.116267346,0.11663008,0.11604005,0.12423567
1979-05-16 12:00:00,0.09543649,0.088421084,0.111249514,0.10018009,0.11995818,0.095385656
1979-06-16 00:00:00,0.10351402,0.10409656,0.12810741,0.11204802,0.11110249,0.10485095
1979-07-16 12:00:00,0.09557699,0.10335183,0.12191007,0.10313255,0.11131303,0.10718778
1979-08-16 12:00:00,0.110628136,0.09869744,0.11194152,0.10474204,0.13199551,0.103051126
1979-09-16 00:00:00,0.08772175,0.091903694,0.10521188,0.08730276,0.12934695,0.116193004
1979-10-16 12:00:00,0.11807141,0.11641759,0.13325408,0.12948948,0.111442104,0.12093921
1979-11-16 00:00:00,0.11106456,0.11576928,0.14807327,0.13730599,0.14098711,0.10555531
1979-12-16 12:00:00,0.10387942,0.11375643,0.13019277,0.14133947,0.134552,0.11451286
1980-01-16 12:00:00,0.13454834,0.13009334,0.13796167,0.15219578,0.14313796,0.12235989
1980-02-15 12:00:00,0.13428192,0.1336408,0.13970853,0.12227181,0.14057164,0.12247413
1980-03-16 12:00:00,0.11628123,0.13440499,0.13953635,0.12185109,0.14454085,0.12549621
1980-04-16 00:00:00,0.09555686,0.101757206,0.11622938,0.12299912,0.10534637,0.10893782
1980-05-16 12:00:00,0.086643085,0.10873435,0.12551636,0.09575872,0.119367786,0.107748866
1980-06-16 00:00:00,0.11579943,0.10002072,0.12153337,0.10451407,0.10731584,0.10812646
1980-07-16 12:00:00,0.09402524,0.10899159,0.11673105,0.10957978,0.13073121,0.10274673
1980-08-16 12:00:00,0.10162825,0.10110956,0.12201635,0.11446435,0.112587675,0.10899772
1980-09-16 00:00:00,0.107313685,0.10558374,0.11856812,0.09924024,0.12495817,0.106702
1980-10-16 12:00:00,0.09679916,0.10188311,0.12725765,0.11391597,0.13028549,0.09913233
1980-11-16 00:00:00,0.11711461,0.14089538,0.1454882,0.13034958,0.12230032,0.11552022
1980-12-16 12:00:00,0.13992205,0.1371186,0.14653435,0.14105697,0.1580124,0.1274344
1981-01-16 12:00:00,0.124844335,0.1462665,0.15280715,0.13551565,0.14318179,0.12972812
1981-02-15 00:00:00,0.11503483,0.13626827,0.13786958,0.13546576,0.11790439,0.12188393
1981-03-16 12:00:00,0.11779021,0.10786047,0.12729153,0.120829925,0.13714373,0.1425291
1981-04-16 00:00:00,0.10304102,0.11527207,0.114622936,0.116183065,0.12516113,0.10871025
1981-05-16 12:00:00,0.09995662,0.08924655,0.113487385,0.10975554,0.118643045,0.108266465
1981-06-16 00:00:00,0.11858823,0.11924579,0.12075962,0.12352771,0.1202588,0.100788474
1981-07-16 12:00:00,0.12852931,0.10885616,0.12451365,0.11997104,0.12085501,0.10183014
1981-08-16 12:00:00,0.10968532,0.11190723,0.13455382,0.11653984,0.11792792,0.096378654
1981-09-16 00:00:00,0.098792925,0.10898788,0.1199502,0.1143427,0.12047152,0.10182154
1981-10-16 12:00:00,0.10808817,0.10026683,0.12260084,0.11992715,0.13342007,0.1108328
1981-11-16 00:00:00,0.12429802,0.13749392,0.13640969,0.14462452,0.13423312,0.12721993
1981-12-16 12:00:00,0.111413844,0.13502479,0.14098345,0.15772593,0.13427651,0.13324103
1982-01-16 12:00:00,0.12959105,0.14015715,0.13106672,0.14822617,0.15009119,0.12981912
1982-02-15 00:00:00,0.13191956,0.12216533,0.13988534,0.14080378,0.1370843,0.1339634
1982-03-16 12:00:00,0.13082562,0.1312849,0.118634395,0.1329412,0.1287203,0.11809996
1982-04-16 00:00:00,0.1058122,0.10840358,0.11793448,0.101198964,0.13130994,0.11089976
1982-05-16 12:00:00,0.11028384,0.12148798,0.11828022,0.12819947,0.12265441,0.110137805
1982-06-16 00:00:00,0.112642236,0.09766909,0.115723304,0.116586514,0.13344283,0.09610904
1982-07-16 12:00:00,0.10339947,0.11347108,0.1245832,0.1266836,0.12976277,0.10246444
1982-08-16 12:00:00,0.101162925,0.10186965,0.13284436,0.11768791,0.11329986,0.09925615
1982-09-16 00:00:00,0.10569531,0.10743267,0.12258366,0.12346065,0.12481546,0.10181933
1982-10-16 12:00:00,0.11024653,0.12771718,0.119625784,0.11704677,0.12351802,0.10252564
1982-11-16 00:00:00,0.11405454,0.1155026,0.13445787,0.14192866,0.13230859,0.13042328
1982-12-16 12:00:00,0.12891302,0.11807815,0.147693,0.14401984,0.13512447,0.1455167
1983-01-16 12:00:00,0.11845587,0.14160883,0.13782899,0.13640094,0.12266845,0.14085335
1983-02-15 00:00:00,0.13807833,0.12429268,0.14892896,0.14202563,0.12263663,0.13185775
1983-03-16 12:00:00,0.115398765,0.117431015,0.15163414,0.123160414,0.14444248,0.1400941
1983-04-16 00:00:00,0.11229271,0.115740195,0.11071047,0.11881931,0.12763946,0.13588955
1983-05-16 12:00:00,0.11030434,0.09573734,0.104826674,0.10758615,0.10380454,0.11990116
1983-06-16 00:00:00,0.112848476,0.10551431,0.12588143,0.13220271,0.105629146,0.114565514
1983-07-16 12:00:00,0.110626675,0.0953953,0.10306348,0.11223425,0.113109075,0.109923564
1983-08-16 12:00:00,0.115772285,0.10257332,0.11865669,0.12515521,0.114119634,0.086711
1983-09-16 00:00:00,0.09494994,0.08787725,0.12024644,0.13792981,0.11581478,0.09337681
1983-10-16 12:00:00,0.12857503,0.10453278,0.13931741,0.11715057,0.11407302,0.12404088
1983-11-16 00:00:00,0.112247534,0.11217236,0.119957104,0.116865635,0.14156055,0.11286333
1983-12-16 12:00:00,0.14741755,0.13067847,0.137858,0.14175266,0.14716776,0.12787181
1984-01-16 12:00:00,0.16499706,0.11797083,0.14460284,0.13583037,0.1523757,0.13712585
1984-02-15 12:00:00,0.1360727,0.11062197,0.14275247,0.12340015,0.12030707,0.13040186
1984-03-16 12:00:00,0.12073341,0.11712135,0.12573546,0.14842084,0.12736234,0.13190809
1984-04-16 00:00:00,0.11963712,0.0990885,0.104568854,0.11213592,0.10942775,0.12205998
1984-05-16 12:00:00,0.10373483,0.0983058,0.11549211,0.10514013,0.11533882,0.11242149
1984-06-16 00:00:00,0.116021655,0.0984882,0.11220437,0.118569665,0.13262075,0.103872545
1984-07-16 12:00:00,0.11088895,0.10206087,0.124369115,0.11309181,0.120890275,0.11364143
1984-08-16 12:00:00,0.10667865,0.098260984,0.10314196,0.10511068,0.111599214,0.104302146
1984-09-16 00:00:00,0.09548625,0.097919844,0.11866174,0.09508814,0.10668976,0.101892516
1984-10-16 12:00:00,0.13414899,0.116632774,0.11705276,0.11992876,0.12251012,0.102663785
1984-11-16 00:00:00,0.14332275,0.13824165,0.14491151,0.13322616,0.13338986,0.1330473
1984-12-16 12:00:00,0.13512728,0.13263328,0.15260382,0.15538867,0.14278421,0.14271209
1985-01-16 12:00:00,0.14795606,0.115123644,0.15450484,0.13175389,0.13345417,0.14295405
1985-02-15 00:00:00,0.12227919,0.13929264,0.13044247,0.12608588,0.12722027,0.14264533
1985-03-16 12:00:00,0.12413747,0.1188103,0.117383786,0.13404173,0.10187198,0.12320486
1985-04-16 00:00:00,0.10303508,0.1130377,0.11974582,0.1258638,0.11140361,0.11675456
1985-05-16 12:00:00,0.11314047,0.0992713,0.11932563,0.11614289,0.1128529,0.11797572
1985-06-16 00:00:00,0.11223553,0.10829861,0.13817596,0.11796204,0.11899097,0.108556844
1985-07-16 12:00:00,0.11688631,0.10325616,0.12160151,0.122566566,0.11173539,0.10171195
1985-08-16 12:00:00,0.10610229,0.097742535,0.13418697,0.10517025,0.09572794,0.09071732
1985-09-16 00:00:00,0.117105536,0.08327669,0.10495728,0.12118771,0.10626305,0.10093501
1985-10-16 12:00:00,0.12303884,0.115851335,0.11853955,0.10969537,0.10765832,0.11468634
1985-11-16 00:00:00,0.1217169,0.122123085,0.14103515,0.12800278,0.12815289,0.13087192
1985-12-16 12:00:00,0.1305586,0.12754965,0.15523343,0.13720104,0.12226246,0.1409801
1986-01-16 12:00:00,0.13028166,0.14587376,0.14783607,0.14714569,0.1285867,0.12063499
1986-02-15 00:00:00,0.11643967,0.12957197,0.14606635,0.12329454,0.125561,0.13513729
1986-03-16 12:00:00,0.122592695,0.12203332,0.13686314,0.11504613,0.11821056,0.117737725
1986-04-16 00:00:00,0.09463508,0.108118534,0.10821578,0.10501835,0.11468065,0.12453476
1986-05-16 12:00:00,0.09790464,0.112170614,0.10424378,0.10136003,0.10408811,0.10466633
1986-06-16 00:00:00,0.10065986,0.09917288,0.12190425,0.12463888,0.10770304,0.11014791
1986-07-16 12:00:00,0.09674114,0.10918178,0.12690353,0.11882665,0.13077074,0.10704918
1986-08-16 12:00:00,0.09496451,0.09047449,0.12819423,0.119269155,0.111728534,0.11930806
1986-09-16 00:00:00,0.09448125,0.10412243,0.12236851,0.11348877,0.11245164,0.102798566
1986-10-16 12:00:00,0.10027284,0.11370332,0.14457576,0.12592708,0.10398163,0.109844334
1986-11-16 00:00:00,0.1308935,0.12451432,0.13970946,0.13975397,0.120400816,0.12860766
1986-12-16 12:00:00,0.14001425,0.13448705,0.14145218,0.14239392,0.12133684,0.13902144
1987-01-16 12:00:00,0.15014246,0.13121082,0.14065412,0.13217904,0.13607642,0.14166814
1987-02-15 00:00:00,0.12464224,0.14402504,0.14346589,0.14298464,0.13245226,0.15088032
1987-03-16 12:00:00,0.12621443,0.12896626,0.1391079,0.1277278,0.11468234,0.13169555
1987-04-16 00:00:00,0.11958323,0.122384414,0.12046501,0.108420596,0.1067178,0.1304387
1987-05-16 12:00:00,0.10361404,0.113661006,0.097204186,0.11200504,0.09342604,0.09938047
1987-06-16 00:00:00,0.08931073,0.09248212,0.12553503,0.11496483,0.116223074,0.120468386
1987-07-16 12:00:00,0.09299325,0.11486478,0.12436299,0.107431926,0.10976132,0.09695857
1987-08-16 12:00:00,0.11562,0.10434446,0.1399676,0.11108224,0.10653007,0.11870872
1987-09-16 00:00:00,0.113087386,0.09185094,0.112161934,0.10906273,0.112402886,0.10503125
1987-10-16 12:00:00,0.097431175,0.109988004,0.14048319,0.10793915,0.103840865,0.12143843
1987-11-16 00:00:00,0.11694878,0.10725995,0.1316035,0.114802495,0.13381134,0.12956052
1987-12-16 12:00:00,0.11720349,0.11967194,0.13504197,0.15154503,0.12790835,0.12077849
1988-01-16 12:00:00,0.124458365,0.14486773,0.15518363,0.13602847,0.14088395,0.14645067
1988-02-15 12:00:00,0.13501514,0.14054216,0.15350431,0.11906359,0.14935727,0.13053553
1988-03-16 12:00:00,0.13931301,0.11823589,0.1365972,0.13943982,0.13944168,0.14064589
1988-04-16 00:00:00,0.107996024,0.12534755,0.11980708,0.12566416,0.11931696,0.11090902
1988-05-16 12:00:00,0.11247217,0.10203739,0.1188699,0.092875175,0.11156179,0.11889053
1988-06-16 00:00:00,0.11185414,0.11033365,0.11198294,0.11520246,0.107468545,0.114156775
1988-07-16 12:00:00,0.11082506,0.10949674,0.113033906,0.1247815,0.11124989,0.09462129
1988-08-16 12:00:00,0.12694557,0.0937885,0.12946808,0.11755076,0.121207476,0.109300986
1988-09-16 00:00:00,0.120909095,0.09718201,0.12389106,0.09022881,0.10742143,0.11261858
1988-10-16 12:00:00,0.10075692,0.096714444,0.10125104,0.11376951,0.12396438,0.13238342
1988-11-16 00:00:00,0.12097542,0.13371642,0.14690839,0.12277424,0.13658534,0.116701946
1988-12-16 12:00:00,0.12878306,0.1380042,0.14675054,0.15572251,0.15766402,0.13098842
1989-01-16 12:00:00,0.14950186,0.14375402,0.14494248,0.14586788,0.15390472,0.13183244
1989-02-15 00:00:00,0.12565093,0.130505,0.14680248,0.124868326,0.15060475,0.13414583
1989-03-16 12:00:00,0.13784567,0.1304766,0.13643938,0.13074976,0.12349104,0.116759196
1989-04-16 00:00:00,0.10718788,0.12091532,0.13287644,0.11866044,0.111708134,0.11500298
1989-05-16 12:00:00,0.10671219,0.09654412,0.11540529,0.10526873,0.11183184,0.10739708
1989-06-16 00:00:00,0.11400422,0.10684774,0.11423447,0.11401208,0.11002659,0.12724783
1989-07-16 12:00:00,0.11070922,0.09799734,0.113779224,0.11874667,0.11084974,0.118031405
1989-08-16 12:00:00,0.10994424,0.09681471,0.11132702,0.11859602,0.1431589,0.1365986
1989-09-16 00:00:00,0.11998644,0.113710105,0.11852295,0.12169608,0.12988588,0.10095776
1989-10-16 12:00:00,0.111465685,0.11253714,0.12368071,0.13118301,0.12737837,0.12155196
1989-11-16 00:00:00,0.13011602,0.14915574,0.1251997,0.1360622,0.12339986,0.13804893
1989-12-16 12:00:00,0.147344,0.14527847,0.13298774,0.15739144,0.1471379,0.1253407
1990-01-16 12:00:00,0.1456236,0.1402865,0.13238929,0.14044224,0.15085864,0.1363853
1990-02-15 00:00:00,0.1321604,0.15272982,0.12508176,0.13080078,0.1264273,0.15049736
1990-03-16 12:00:00,0.12728177,0.14033002,0.11363711,0.13980533,0.1174899,0.12665501
1990-04-16 00:00:00,0.10670007,0.12455357,0.11128716,0.11315716,0.116108306,0.114804305
1990-05-16 12:00:00,0.11843304,0.10206936,0.11267329,0.11463981,0.10281867,0.11253749
1990-06-16 00:00:00,0.11672239,0.10040217,0.11878134,0.10995716,0.119278856,0.10543187
1990-07-16 12:00:00,0.10575834,0.10155477,0.12680916,0.11399707,0.123122506,0.11083674
1990-08-16 12:00:00,0.12833166,0.11162536,0.121802,0.1299423,0.13262077,0.101181485
1990-09-16 00:00:00,0.108285435,0.10666902,0.12146207,0.108492635,0.10792803,0.10679169
1990-10-16 12:00:00,0.11809541,0.12057023,0.1267194,0.1124759,0.117721304,0.11794215
1990-11-16 00:00:00,0.13071117,0.11899741,0.13325053,0.12847236,0.1433267,0.14836183
1990-12-16 12:00:00,0.13986272,0.12691064,0.14860307,0.13415489,0.13074961,0.13119617
1991-01-16 12:00:00,0.124325626,0.13787729,0.14475523,0.1548018,0.14616582,0.12887229
1991-02-15 00:00:00,0.13094416,0.15487167,0.14941965,0.13940452,0.13261224,0.10891363
1991-03-16 12:00:00,0.13326986,0.12016627,0.13396002,0.13493297,0.12913215,0.14303021
1991-04-16 00:00:00,0.118604556,0.10201386,0.1326983,0.105754666,0.11504521,0.10697698
1991-05-16 12:00:00,0.095858775,0.108688645,0.10337116,0.11885673,0.11609981,0.10782741
1991-06-16 00:00:00,0.1199883,0.12125315,0.11855449,0.11792553,0.13600391,0.12734297
1991-07-16 12:00:00,0.1056342,0.10563606,0.116663314,0.11042882,0.11011943,0.12058197
1991-08-16 12:00:00,0.10881455,0.114452556,0.12639873,0.116899535,0.116083026,0.11122526
1991-09-16 00:00:00,0.108933344,0.113458745,0.10898211,0.11387121,0.09532395,0.12387089
1991-10-16 12:00:00,0.10995304,0.11396004,0.12369427,0.1511983,0.1258954,0.1035464
1991-11-16 00:00:00,0.132484,0.1434695,0.13634044,0.13571075,0.14219444,0.13058098
1991-12-16 12:00:00,0.14659967,0.14266424,0.13984671,0.14514932,0.15107332,0.13675396
1992-01-16 12:00:00,0.12610751,0.13878545,0.15945199,0.15447515,0.13950431,0.13000011
1992-02-15 12:00:00,0.12719278,0.13881873,0.13697684,0.13710627,0.13555023,0.13387075
1992-03-16 12:00:00,0.12152063,0.13975792,0.14119636,0.12487739,0.11704741,0.120280854
1992-04-16 00:00:00,0.10439406,0.11670815,0.12167043,0.11382815,0.111615576,0.11125569
1992-05-16 12:00:00,0.10438259,0.1088385,0.12149213,0.10249078,0.10003146,0.101667106
1992-06-16 00:00:00,0.0977544,0.11453357,0.114107706,0.110521376,0.12697741,0.10035519
1992-07-16 12:00:00,0.108524464,0.12198704,0.11417533,0.11907813,0.11785098,0.11104439
1992-08-16 12:00:00,0.10475503,0.11743211,0.11555557,0.11199188,0.113542505,0.1063927
1992-09-16 00:00:00,0.09675727,0.10996816,0.12117716,0.12547491,0.11803016,0.09171104
1992-10-16 12:00:00,0.11176353,0.115827076,0.11701518,0.13706109,0.111232474,0.11172281
1992-11-16 00:00:00,0.13202362,0.14673324,0.15156911,0.13369477,0.11702537,0.13359477
1992-12-16 12:00:00,0.14161372,0.14859426,0.14176658,0.13429819,0.14088476,0.12624696
1993-01-16 12:00:00,0.13521121,0.13483825,0.14117447,0.14411315,0.1405261,0.11875553
1993-02-15 00:00:00,0.124520995,0.14552471,0.13308093,0.15286893,0.13800034,0.13527666
1993-03-16 12:00:00,0.10628197,0.12463367,0.13091901,0.122870594,0.11754282,0.13256282
1993-04-16 00:00:00,0.11385762,0.11075206,0.11341473,0.10071243,0.12165085,0.11108009
1993-05-16 12:00:00,0.10047563,0.11548067,0.10911885,0.10651158,0.107005365,0.0940794
1993-06-16 00:00:00,0.09979947,0.12826878,0.12162581,0.12856744,0.11016375,0.11525473
1993-07-16 12:00:00,0.110300794,0.110921815,0.10967262,0.115813725,0.10764429,0.09895634
1993-08-16 12:00:00,0.113019735,0.12444689,0.13529393,0.1191869,0.11384399,0.10366546
1993-09-16 00:00:00,0.09771876,0.10479904,0.09991065,0.12047041,0.10608976,0.09849023
1993-10-16 12:00:00,0.12623514,0.113941416,0.11618122,0.12393426,0.11674569,0.09884113
1993-11-16 00:00:00,0.13030872,0.12645765,0.1271242,0.15736973,0.12009591,0.10551833
1993-12-16 12:00:00,0.12288216,0.12360055,0.15059946,0.12411724,0.124536686,0.13637514
1994-01-16 12:00:00,0.11329184,0.1375912,0.13499436,0.15722544,0.1431956,0.13225344
1994-02-15 00:00:00,0.13539626,0.16051784,0.13556276,0.1452034,0.13030215,0.1261669
1994-03-16 12:00:00,0.13310471,0.14090876,0.14676984,0.12139974,0.10704968,0.121309124
1994-04-16 00:00:00,0.10665471,0.10781876,0.12665191,0.11102137,0.10954746,0.11663212
1994-05-16 12:00:00,0.11530276,0.118131086,0.10348681,0.11480061,0.120594904,0.10206653
1994-06-16 00:00:00,0.11728132,0.11371496,0.12071756,0.113457024,0.10654089,0.10816921
1994-07-16 12:00:00,0.11041318,0.109432556,0.12959887,0.10488904,0.11324059,0.11149235
1994-08-16 12:00:00,0.11516681,0.09633726,0.13714707,0.1287283,0.117026776,0.10773693
1994-09-16 00:00:00,0.11727685,0.102611855,0.10905394,0.124065176,0.0966709,0.10705171
1994-10-16 12:00:00,0.12159573,0.11769453,0.120223075,0.11126851,0.12639418,0.1014226
1994-11-16 00:00:00,0.11526864,0.12224851,0.1410833,0.13599442,0.13757892,0.1241975
1994-12-16 12:00:00,0.14186004,0.1420922,0.13843712,0.1411831,0.14301854,0.1269447
1995-01-16 12:00:00,0.13414834,0.14085828,0.14584124,0.13657102,0.1448578,0.13269097
1995-02-15 00:00:00,0.1315883,0.12412065,0.14142002,0.1348434,0.15889804,0.14629705
1995-03-16 12:00:00,0.117851965,0.112459004,0.12685175,0.12971972,0.1256346,0.11965748
1995-04-16 00:00:00,0.103992015,0.10867578,0.12588869,0.12164805,0.101079606,0.106087156
1995-05-16 12:00:00,0.09469794,0.12326786,0.11242783,0.10413198,0.108390816,0.10746503
1995-06-16 00:00:00,0.11036847,0.10111462,0.104328796,0.114179194,0.10899668,0.11311324
1995-07-16 12:00:00,0.10285062,0.10344139,0.111075215,0.1212787,0.104762,0.105581015
1995-08-16 12:00:00,0.10796062,0.117397144,0.11377419,0.112997524,0.12335449,0.09608929
1995-09-16 00:00:00,0.10841797,0.1075838,0.11359529,0.13845617,0.11280761,0.099570125
1995-10-16 12:00:00,0.12611108,0.124942355,0.13401559,0.12525524,0.13588603,0.091078445
1995-11-16 00:00:00,0.124066256,0.13266043,0.12346593,0.12502325,0.14577776,0.14034875
1995-12-16 12:00:00,0.1326559,0.13581236,0.123382874,0.13695668,0.14692816,0.13079788
1996-01-16 12:00:00,0.12611525,0.1393931,0.1410047,0.14748962,0.12856796,0.12876222
1996-02-15 12:00:00,0.13074651,0.12955146,0.1346191,0.14136083,0.1408125,0.13535972
1996-03-16 12:00:00,0.12549385,0.12546547,0.117566094,0.1176548,0.123617135,0.120195806
1996-04-16 00:00:00,0.09486702,0.12377132,0.115914956,0.120094545,0.11785848,0.09792336
1996-05-16 12:00:00,0.106016055,0.10345722,0.102533266,0.11311081,0.1270787,0.09395843
1996-06-16 00:00:00,0.11128257,0.12840627,0.122523375,0.110321105,0.11478116,0.10874497
1996-07-16 12:00:00,0.108691014,0.11474763,0.10981068,0.14178981,0.1235709,0.10157501
1996-08-16 12:00:00,0.12226777,0.10607588,0.13121477,0.14035809,0.11338869,0.09749509
1996-09-16 00:00:00,0.11629673,0.108616024,0.11384989,0.1287464,0.13047422,0.12746003
1996-10-16 12:00:00,0.10185987,0.11781484,0.14020987,0.13175923,0.13627133,0.10702457
1996-11-16 00:00:00,0.111447655,0.13414954,0.1249439,0.13397896,0.13443936,0.10875153
