time,r7i1p1f1,r6i1p1f1,r5i1p1f1,r8i1p1f1,r4i1p1f1,r1i1p1f1,r2i1p1f1,r9i1p1f1,r3i1p1f1
1979-01-16 12:00:00,0.12490022,0.14153926,0.13906743,0.1385524,0.13757989,0.11902668,0.13990395,0.14381877,0.14418288
1979-02-15 00:00:00,0.12752062,0.13758612,0.13554975,0.1338387,0.13460368,0.13320221,0.13640684,0.1356889,0.13430804
1979-03-16 12:00:00,0.1277615,0.12082408,0.123520836,0.1472399,0.109888,0.12936318,0.13286963,0.12948398,0.12994644
1979-04-16 00:00:00,0.12389651,0.12312686,0.10779895,0.12642683,0.110220835,0.1060989,0.11055204,0.12563422,0.11759328
1979-05-16 12:00:00,0.1135597,0.09611343,0.11017077,0.12803228,0.09542898,0.09740456,0.11028128,0.09744941,0.09985789
1979-06-16 00:00:00,0.09013097,0.091629356,0.09008793,0.10200583,0.09327338,0.09018473,0.08897826,0.09233278,0.08222217
1979-07-16 12:00:00,0.09465434,0.08968733,0.08484399,0.09553638,0.093449034,0.084071,0.09716053,0.08646055,0.09918725
1979-08-16 12:00:00,0.11216904,0.10171624,0.097636096,0.09430827,0.10050123,0.09678236,0.11014953,0.09840343,0.09806814
1979-09-16 00:00:00,0.11602784,0.12191728,0.112200886,0.11118592,0.11231733,0.112236656,0.11436612,0.11065032,0.105316475
1979-10-16 12:00:00,0.1377758,0.12851849,0.15200399,0.13544744,0.1327078,0.13701141,0.14668791,0.12346288,0.14376906
1979-11-16 00:00:00,0.13696784,0.14794962,0.1396049,0.14301533,0.12548089,0.1403851,0.14760321,0.13349384,0.12442908
1979-12-16 12:00:00,0.11964936,0.12954465,0.1429215,0.17062439,0.1317672,0.1407807,0.14540981,0.1154328,0.13639295
1980-01-16 12:00:00,0.14813465,0.14558572,0.1308765,0.14945333,0.13943042,0.13131039,0.14089854,0.1332625,0.13462168
1980-02-15 12:00:00,0.1318255,0.12741023,0.13306859,0.13026714,0.14117269,0.13019754,0.13353966,0.12815294,0.12858655
1980-03-16 12:00:00,0.11649206,0.12270844,0.12986359,0.1448909,0.13590941,0.13636425,0.13456893,0.11828939,0.1287902
1980-04-16 00:00:00,0.11096355,0.11469922,0.11350269,0.119932234,0.11926776,0.117951095,0.10643797,0.13466638,0.12313313
1980-05-16 12:00:00,0.09894037,0.096053675,0.08898674,0.11033622,0.09911428,0.106419206,0.11008926,0.1086748,0.10958677
1980-06-16 00:00:00,0.09765978,0.092325814,0.09373231,0.09846575,0.08855479,0.090975285,0.09780515,0.09545095,0.10600977
1980-07-16 12:00:00,0.086393245,0.09667424,0.09027293,0.09259445,0.09431595,0.091428615,0.091538936,0.08948734,0.08410906
1980-08-16 12:00:00,0.1002071,0.11587683,0.10113723,0.099652976,0.1019886,0.09716166,0.101376995,0.090222575,0.09148736
1980-09-16 00:00:00,0.11778035,0.11637328,0.11648544,0.124273695,0.11685025,0.12391269,0.12432901,0.11340614,0.12499195
1980-10-16 12:00:00,0.15408666,0.1378608,0.1421133,0.1448332,0.13740835,0.1310857,0.13346277,0.13130309,0.14335102
1980-11-16 00:00:00,0.13859273,0.13274428,0.14302987,0.13913837,0.13651721,0.15615776,0.13323899,0.13090731,0.13229814
1980-12-16 12:00:00,0.11825501,0.136786,0.12244878,0.13068062,0.12472909,0.13034154,0.12019601,0.1502144,0.15376508
1981-01-16 12:00:00,0.12605014,0.13394666,0.13277444,0.12915489,0.12524,0.13397834,0.124289475,0.14473443,0.14510134
1981-02-15 00:00:00,0.13118988,0.122228906,0.11971864,0.13517308,0.122644894,0.13310646,0.143444,0.12602697,0.14429145
1981-03-16 12:00:00,0.13187656,0.117725864,0.12626891,0.12619366,0.12619351,0.1335963,0.13098955,0.12531577,0.12663117
1981-04-16 00:00:00,0.1228388,0.11864868,0.118132815,0.12001225,0.12678352,0.113060735,0.10719545,0.119353205,0.11493359
1981-05-16 12:00:00,0.09886617,0.1120443,0.112424105,0.10029636,0.09679678,0.10440549,0.11059861,0.09515692,0.114196576
1981-06-16 00:00:00,0.10653732,0.09534228,0.09442185,0.088232756,0.08576397,0.08454134,0.09843443,0.091053806,0.094862975
1981-07-16 12:00:00,0.10019773,0.097872905,0.09640842,0.10971478,0.092942424,0.08828408,0.088636465,0.089781575,0.09432447
1981-08-16 12:00:00,0.11554054,0.09376198,0.10026174,0.10600451,0.095859416,0.104632325,0.10816188,0.089518614,0.09455746
1981-09-16 00:00:00,0.116038926,0.12430301,0.10705065,0.11698125,0.104441516,0.115674525,0.11426947,0.1154897,0.118706375
1981-10-16 12:00:00,0.13513078,0.15439287,0.14402266,0.13701375,0.14579695,0.12135903,0.15336534,0.124806255,0.1414987
1981-11-16 00:00:00,0.13952103,0.1469877,0.15753658,0.13426572,0.14622977,0.13832967,0.13389912,0.15064904,0.14480661
1981-12-16 12:00:00,0.1326307,0.13829052,0.14895222,0.1334685,0.14338762,0.12751292,0.12249811,0.12098906,0.14716157
1982-01-16 12:00:00,0.13265201,0.14994599,0.13696864,0.13558035,0.13448769,0.139186,0.13692723,0.114656456,0.1325549
1982-02-15 00:00:00,0.13552386,0.133743,0.13639145,0.13553928,0.14367814,0.13087936,0.13112253,0.124065116,0.14167382
1982-03-16 12:00:00,0.12966287,0.13080843,0.13089487,0.123150215,0.12943909,0.12473568,0.124535955,0.12553166,0.121923685
1982-04-16 00:00:00,0.11134407,0.115755245,0.114320345,0.10306671,0.11931116,0.13412134,0.12178085,0.10755721,0.11818776
1982-05-16 12:00:00,0.09659046,0.09864612,0.110840775,0.09593521,0.09994047,0.10007916,0.09834268,0.10537346,0.09455895
1982-06-16 00:00:00,0.09256175,0.08587541,0.09116689,0.096546575,0.08141225,0.082459606,0.095795065,0.08395064,0.088192545
1982-07-16 12:00:00,0.08618859,0.088613145,0.08988099,0.10355844,0.089908145,0.089347266,0.091440655,0.097361326,0.092388354
1982-08-16 12:00:00,0.10137338,0.10340532,0.10298428,0.097633906,0.10138226,0.096779734,0.101689704,0.10421014,0.110038586
1982-09-16 00:00:00,0.11671101,0.12580577,0.10382347,0.12377075,0.12972312,0.12333843,0.1232534,0.107639246,0.10882112
1982-10-16 12:00:00,0.14621821,0.13131945,0.14380702,0.12732902,0.1426518,0.13872573,0.1334334,0.14208783,0.12833142
1982-11-16 00:00:00,0.13177536,0.13537121,0.14589554,0.1357633,0.12593435,0.12948364,0.14357996,0.13047086,0.15587194
1982-12-16 12:00:00,0.1335179,0.1339393,0.13580228,0.13928081,0.13383996,0.12215167,0.14325927,0.13879015,0.14015217
1983-01-16 12:00:00,0.13295716,0.12739234,0.14100727,0.15898387,0.13173771,0.14300387,0.13816273,0.12410361,0.13122946
1983-02-15 00:00:00,0.12316265,0.12877552,0.13117225,0.1376187,0.13185304,0.13873535,0.11465963,0.13994041,0.12498552
1983-03-16 12:00:00,0.14186184,0.12517627,0.11846217,0.14594482,0.1280214,0.12785864,0.12480883,0.11706421,0.1326406
1983-04-16 00:00:00,0.1150811,0.11424277,0.105880715,0.11255968,0.120825745,0.115721025,0.10583459,0.12698199,0.1262664
1983-05-16 12:00:00,0.11172998,0.10888522,0.09596384,0.105716705,0.11638476,0.11912984,0.11186619,0.10454811,0.10221484
1983-06-16 00:00:00,0.08878187,0.0785046,0.09040634,0.090105414,0.08771154,0.092296,0.09566515,0.088155255,0.097337805
1983-07-16 12:00:00,0.08442863,0.08914222,0.09781722,0.094290845,0.08050744,0.097759455,0.09449462,0.08364747,0.087852925
1983-08-16 12:00:00,0.10083588,0.09650888,0.107482985,0.097192876,0.10366685,0.10959583,0.10765839,0.08482151,0.10209331
1983-09-16 00:00:00,0.115832165,0.10569363,0.11776777,0.11135712,0.115705416,0.118647635,0.114240214,0.12132066,0.110348105
1983-10-16 12:00:00,0.14369,0.13577895,0.13886414,0.13734277,0.14120728,0.13039424,0.13690798,0.15103474,0.14272143
1983-11-16 00:00:00,0.1373897,0.14987402,0.13123626,0.13885738,0.14167358,0.1462217,0.13752836,0.1138522,0.15129143
1983-12-16 12:00:00,0.12741594,0.13323745,0.14605677,0.1385502,0.12708576,0.13715483,0.13832277,0.13938154,0.12713401
1984-01-16 12:00:00,0.12660117,0.1496978,0.12813897,0.12737006,0.13434608,0.15142018,0.13967603,0.12437325,0.14654545
1984-02-15 12:00:00,0.13035068,0.13731131,0.12237471,0.14073008,0.12651956,0.12645775,0.13099287,0.13083783,0.12303352
1984-03-16 12:00:00,0.1323718,0.11274658,0.12189114,0.13025308,0.116299935,0.1302024,0.12192162,0.12940954,0.120279014
1984-04-16 00:00:00,0.1229711,0.1151781,0.108224444,0.109279424,0.12133765,0.11823378,0.1195268,0.10963894,0.12383008
1984-05-16 12:00:00,0.09618631,0.10642339,0.101122245,0.09404965,0.11829663,0.11298393,0.10520141,0.09951896,0.115206994
1984-06-16 00:00:00,0.096813135,0.088109,0.08194504,0.095141165,0.09376935,0.07569388,0.094169244,0.09194575,0.10161544
1984-07-16 12:00:00,0.088575676,0.08706954,0.10172446,0.08682528,0.0895236,0.09115968,0.08805919,0.090764016,0.10260142
1984-08-16 12:00:00,0.098468155,0.10207314,0.11244588,0.09778013,0.10339655,0.10838844,0.10614844,0.09911899,0.107110105
1984-09-16 00:00:00,0.11175011,0.11648484,0.124180585,0.11408811,0.1171036,0.11644883,0.11587827,0.12337776,0.122375205
1984-10-16 12:00:00,0.13914043,0.1417249,0.1360948,0.13429374,0.12668777,0.12842406,0.14306952,0.13340029,0.13896377
1984-11-16 00:00:00,0.13737711,0.13705654,0.11718907,0.11528939,0.1372064,0.135489,0.15708655,0.14576234,0.13336174
1984-12-16 12:00:00,0.1529562,0.12488751,0.14261538,0.136729,0.14154959,0.1335029,0.1504072,0.12721054,0.1529571
1985-01-16 12:00:00,0.13884068,0.13831459,0.12778579,0.12743331,0.13666552,0.13535626,0.13087355,0.14056465,0.1302044
1985-02-15 00:00:00,0.124225624,0.14785276,0.123015,0.12064823,0.15229927,0.13363838,0.124322735,0.13742858,0.13530183
1985-03-16 12:00:00,0.13756277,0.12330249,0.13006625,0.11906241,0.1196405,0.13492265,0.14058381,0.12408837,0.12219747
1985-04-16 00:00:00,0.12799893,0.11371859,0.11668119,0.11558217,0.119116455,0.123680755,0.118911475,0.11740607,0.12534404
1985-05-16 12:00:00,0.10122908,0.09792697,0.11022281,0.09744584,0.10698597,0.10318316,0.10475638,0.09479051,0.107366204
1985-06-16 00:00:00,0.08792784,0.095131114,0.09303937,0.089564994,0.07976418,0.09417261,0.08914631,0.09088502,0.105950914
1985-07-16 12:00:00,0.09664038,0.08937415,0.09325447,0.086819366,0.098036155,0.09270563,0.094168946,0.092162445,0.08203878
1985-08-16 12:00:00,0.09506027,0.100759745,0.10625375,0.101544045,0.103497155,0.09764822,0.097943194,0.096860014,0.092679605
1985-09-16 00:00:00,0.11090974,0.122862026,0.10705097,0.112409376,0.106127754,0.1225229,0.11491209,0.11282943,0.106905125
1985-10-16 12:00:00,0.116355635,0.12826902,0.13504785,0.13282897,0.13801433,0.13621789,0.14321794,0.12235602,0.12849917
1985-11-16 00:00:00,0.15100183,0.14118981,0.118745215,0.13133444,0.13205306,0.15469489,0.14058958,0.15280987,0.14271685
1985-12-16 12:00:00,0.13601351,0.12465102,0.12184118,0.14135537,0.13509807,0.13698292,0.12738317,0.13503204,0.13576818
1986-01-16 12:00:00,0.14216913,0.13761473,0.13547641,0.14326313,0.12607996,0.1425563,0.13602144,0.12726195,0.12764211
1986-02-15 00:00:00,0.13094744,0.12401702,0.13010505,0.12556285,0.13711016,0.1436095,0.13727604,0.12092181,0.11407954
1986-03-16 12:00:00,0.12567131,0.14197901,0.10933992,0.12163436,0.14147563,0.13161656,0.12192034,0.1187728,0.12951103
1986-04-16 00:00:00,0.10874848,0.1326764,0.12543741,0.12991609,0.108636215,0.11198657,0.12079798,0.10579201,0.10825728
1986-05-16 12:00:00,0.10000799,0.113701835,0.10506431,0.09188554,0.09709812,0.1115284,0.114656396,0.100790344,0.10940048
1986-06-16 00:00:00,0.08354732,0.08360099,0.086902,0.08887461,0.08897153,0.087192446,0.09640033,0.083859555,0.092439175
1986-07-16 12:00:00,0.095543966,0.0983447,0.09977796,0.08871731,0.08613351,0.09307786,0.10375967,0.09502678,0.098047614
1986-08-16 12:00:00,0.10587304,0.10912401,0.10240153,0.103709675,0.095551714,0.09858699,0.10962511,0.093012616,0.10111338
1986-09-16 00:00:00,0.10346741,0.10647954,0.119696185,0.10870237,0.110876784,0.12112077,0.116914004,0.11283052,0.11948976
1986-10-16 12:00:00,0.1428105,0.13682197,0.13676731,0.1313953,0.13235939,0.13631031,0.1463723,0.14014846,0.13765828
1986-11-16 00:00:00,0.14477447,0.150088,0.13295364,0.122828096,0.14767474,0.13851215,0.13456468,0.12941353,0.15503696
1986-12-16 12:00:00,0.13194063,0.12822597,0.1425096,0.14367676,0.13339344,0.13056321,0.16442314,0.12655392,0.13123614
1987-01-16 12:00:00,0.14135122,0.14767665,0.12966235,0.11897678,0.12923077,0.13272421,0.14907143,0.12157529,0.12545195
1987-02-15 00:00:00,0.13382405,0.12518963,0.12152398,0.13160732,0.12608989,0.13817813,0.15102673,0.13984202,0.13714711
1987-03-16 12:00:00,0.14926879,0.13003008,0.123895854,0.12920049,0.12263967,0.13561095,0.13606946,0.12802997,0.13874093
1987-04-16 00:00:00,0.12250227,0.10906961,0.12922685,0.12079221,0.118954115,0.11961568,0.12376967,0.116252646,0.12046877
1987-05-16 12:00:00,0.102673344,0.10909078,0.10609646,0.10856107,0.10554869,0.10625752,0.11084218,0.09420467,0.113839
1987-06-16 00:00:00,0.092507996,0.08491453,0.09671686,0.09230754,0.09565375,0.08490359,0.09738261,0.09074476,0.0965515
1987-07-16 12:00:00,0.101965,0.09115039,0.097184815,0.077953935,0.10036469,0.090951696,0.09973109,0.095041625,0.10472158
1987-08-16 12:00:00,0.10371537,0.10099757,0.092847876,0.08976281,0.10228762,0.10136337,0.09808337,0.1026482,0.109200224
1987-09-16 00:00:00,0.117238276,0.109427325,0.110108614,0.11246505,0.11169777,0.11900495,0.13041891,0.12654808,0.11314816
1987-10-16 12:00:00,0.13354887,0.13887827,0.12839164,0.12520994,0.1339148,0.13887171,0.1492066,0.14969754,0.13606921
1987-11-16 00:00:00,0.13444254,0.14321405,0.13849731,0.12840663,0.14340927,0.13935946,0.122464985,0.13942362,0.15006858
1987-12-16 12:00:00,0.11706638,0.1430465,0.12536891,0.1345658,0.14453074,0.13678643,0.14451125,0.13949996,0.13499686
1988-01-16 12:00:00,0.13285185,0.13908124,0.13206641,0.13985087,0.15224078,0.13137543,0.13073713,0.1354111,0.15067327
1988-02-15 12:00:00,0.12143237,0.14301078,0.12673143,0.12847884,0.11388391,0.14898911,0.14824715,0.13266449,0.14351319
1988-03-16 12:00:00,0.12593623,0.12724698,0.1170615,0.11881826,0.12466399,0.11483225,0.13554715,0.13408098,0.13511473
1988-04-16 00:00:00,0.120985515,0.10619587,0.11525874,0.13491668,0.10760057,0.1118646,0.13624549,0.12588847,0.12749577
1988-05-16 12:00:00,0.104221724,0.093739346,0.10451203,0.103283994,0.10185764,0.101369515,0.10310034,0.09569145,0.10571104
1988-06-16 00:00:00,0.09305613,0.092295736,0.097725496,0.0955316,0.093329296,0.10014594,0.08079891,0.08487163,0.10095599
1988-07-16 12:00:00,0.08156855,0.105470315,0.09546567,0.086701766,0.09374024,0.09393744,0.090223625,0.10169705,0.0953471
1988-08-16 12:00:00,0.10389959,0.101043314,0.096580036,0.09964277,0.101695605,0.10170931,0.11588656,0.11066004,0.09849109
1988-09-16 00:00:00,0.120828375,0.12113178,0.11151309,0.11417855,0.11282769,0.111089714,0.11828923,0.102779225,0.11806639
1988-10-16 12:00:00,0.14611769,0.13496234,0.13091443,0.14024414,0.13555898,0.13752286,0.13965714,0.13380338,0.15512234
1988-11-16 00:00:00,0.12703265,0.1304695,0.12770297,0.15608834,0.14730388,0.14998539,0.14065446,0.12910715,0.16048752
1988-12-16 12:00:00,0.14121889,0.13454022,0.11877442,0.1323141,0.132556,0.13316947,0.12963365,0.11812044,0.13851276
1989-01-16 12:00:00,0.1433662,0.12369431,0.14197974,0.15923779,0.12625754,0.12653993,0.14920051,0.1265366,0.13406159
1989-02-15 00:00:00,0.13108577,0.14571342,0.13122803,0.1475538,0.12859778,0.120973065,0.14807053,0.11929206,0.12688915
1989-03-16 12:00:00,0.14002027,0.120459765,0.12831818,0.1414955,0.120694704,0.13475364,0.12713635,0.1294549,0.13017952
1989-04-16 00:00:00,0.10909331,0.12393953,0.12168263,0.13114561,0.11137428,0.13445024,0.11624102,0.11635352,0.11925669
1989-05-16 12:00:00,0.10097501,0.112767,0.118505225,0.09896854,0.10786092,0.10308393,0.10227371,0.10892467,0.105764344
1989-06-16 00:00:00,0.08661334,0.08525637,0.08844974,0.0867789,0.084244035,0.08955581,0.08822041,0.09401256,0.09841494
1989-07-16 12:00:00,0.093186505,0.09635207,0.09611332,0.0976775,0.09706847,0.10435256,0.094481766,0.08529014,0.09154183
1989-08-16 12:00:00,0.09387781,0.1076081,0.11398383,0.09403927,0.119497545,0.10307781,0.09641138,0.09757994,0.11695915
1989-09-16 00:00:00,0.09453398,0.12101326,0.10755114,0.11551549,0.12206866,0.1080637,0.12040407,0.11813624,0.116765335
1989-10-16 12:00:00,0.13289803,0.13431178,0.13296133,0.12777293,0.14963542,0.13391957,0.13367967,0.13401875,0.13630326
1989-11-16 00:00:00,0.12517713,0.14210992,0.14852273,0.14584236,0.1287264,0.13499425,0.14011069,0.14872967,0.14396693
1989-12-16 12:00:00,0.12144996,0.15755759,0.1403046,0.13729055,0.12943484,0.16140845,0.12971129,0.15260349,0.14231318
1990-01-16 12:00:00,0.123848386,0.15734175,0.13279022,0.14829738,0.13501412,0.1168348,0.13782912,0.13288094,0.12998915
1990-02-15 00:00:00,0.1298797,0.13269246,0.12319217,0.12922533,0.11814259,0.13330789,0.123318635,0.1207498,0.13895975
1990-03-16 12:00:00,0.13321887,0.12061602,0.13220938,0.124394305,0.118326925,0.121656835,0.123828955,0.117345326,0.11876077
1990-04-16 00:00:00,0.1189516,0.11345204,0.13393168,0.12260336,0.10895633,0.1219673,0.11596439,0.10563876,0.11589821
1990-05-16 12:00:00,0.11346952,0.1068875,0.106827654,0.09538008,0.0918768,0.11013259,0.0919213,0.10153298,0.10552271
1990-06-16 00:00:00,0.07945193,0.088934414,0.08209272,0.09352308,0.08992674,0.08619891,0.09075062,0.095168285,0.09802375
1990-07-16 12:00:00,0.0889177,0.088460624,0.09840747,0.09282828,0.08583932,0.09608968,0.09012489,0.095186375,0.10360303
1990-08-16 12:00:00,0.09952689,0.10056907,0.10175502,0.098383665,0.08915039,0.100024,0.096165255,0.09913623,0.10577008
1990-09-16 00:00:00,0.114074565,0.122877814,0.11645608,0.11206274,0.117346734,0.11303783,0.110598296,0.108184546,0.11104293
1990-10-16 12:00:00,0.13040346,0.13487971,0.12537262,0.14339608,0.1420833,0.13836831,0.14324264,0.14692727,0.1452126
1990-11-16 00:00:00,0.12202062,0.14436863,0.15470876,0.14263447,0.13868096,0.14326604,0.13953726,0.1389555,0.15255693
